,name,company_id,movie,movie_id
0,Avex Entertainment,0179653,Initial D: Third Stage,388130
1,Kôdansha,0021660,Initial D: Third Stage,388130
2,OB Planning,0099762,Initial D: Third Stage,388130
3,Pastel,0113955,Initial D: Third Stage,388130
4,Studio DEEN,0036168,Initial D: Third Stage,388130
5,Dire Faire Contre le Racisme,0072738,Don't Make Trouble!,273772
6,Little Bear,0069857,Don't Make Trouble!,273772
7,Fox Searchlight Pictures,0028932,Waking Life,243017
8,Independent Film Channel (IFC),0046530,Waking Life,243017
9,Thousand Words,0042682,Waking Life,243017
10,Flat Black Films,0054189,Waking Life,243017
11,Detour Filmproduction,0123642,Waking Life,243017
12,Line Research,0064516,Waking Life,243017
13,Thud Rumble!,0060259,Wave Twisters,291559
14,Plymptoons,0077590,Mutant Aliens,277909
15,Disney Television Animation,0030830,Recess: School's Out,265632
16,Disneytoon Studios,0092035,Recess: School's Out,265632
17,Twentieth Century Fox,0000756,Monkeybone,166276
18,1492 Pictures,0046151,Monkeybone,166276
19,Twentieth Century Fox Animation,0179259,Monkeybone,166276
20,Twitching Image Studio,0035999,Monkeybone,166276
21,TriStar Pictures,0005883,The Trumpet of the Swan,206367
22,RichCrest Animation,0028606,The Trumpet of the Swan,206367
23,Nest Family Entertainment,0004117,The Trumpet of the Swan,206367
24,Toei Animation,0062107,One Piece: Clockwork Island Adventure,832449
25,Shin Ei Animation,0125584,Doraemon: Nobita and the Winged Braves,306741
26,Asatsu,0154151,Doraemon: Nobita and the Winged Braves,306741
27,Shogakukan,0011744,Doraemon: Nobita and the Winged Braves,306741
28,TV Asahi,0025002,Doraemon: Nobita and the Winged Braves,306741
29,Lumifilm Oy,0040094,Tootletubs & Jyro,287058
30,China Star Entertainment,0003221,Old Master Q 2001,199898
31,One Hundred Years of Film Company,0036229,Old Master Q 2001,199898
32,Film Workshop,0000295,Old Master Q 2001,199898
33,Shin Ei Animation,0125584,Shin Chan: The Adult Empire Strikes Back,831848
34,TV Asahi Productions,0228925,Shin Chan: The Adult Empire Strikes Back,831848
35,Toho Company,0002219,Shin Chan: The Adult Empire Strikes Back,831848
36,TMS Entertainment,0064579,Detective Conan: Countdown to Heaven,1073223
37,DreamWorks Animation,0129164,Shrek,126029
38,Dreamworks Pictures,0819670,Shrek,126029
39,Pacific Data Images,0069464,Shrek,126029
40,Vanguard Films,0005025,Shrek,126029
41,Gaga Communications,0350331,Malice@Doll,363277
42,Soeishinsha Company Ltd.,0034042,Malice@Doll,363277
43,Visual Sciences Laboratory,0022317,Malice@Doll,363277
44,Bandai Visual Company,0080697,Metropolis,293416
45,DENTSU Music And Entertainment,0064941,Metropolis,293416
46,Imagica Corp.,0195909,Metropolis,293416
47,Kadokawa Shoten Publishing Co.,0060607,Metropolis,293416
48,King Records,0041411,Metropolis,293416
49,Madhouse Productions,0078844,Metropolis,293416
50,Madhouse,0022946,Metropolis,293416
51,Metropolis Project,0040803,Metropolis,293416
52,Sony Pictures Television,0071392,Metropolis,293416
53,Tezuka Productions,0027922,Metropolis,293416
54,Toho Company,0002219,Metropolis,293416
55,Centre national du cinéma et de l'image animée,0090290,Petit Potam,284394
56,Dargaud Films,0068017,Petit Potam,284394
57,Marina Productions,0040903,Petit Potam,284394
58,Neuroplanet,0019672,Petit Potam,284394
59,Walt Disney Animation Studios,0074039,Atlantis: The Lost Empire,230011
60,Walt Disney Pictures,0008970,Atlantis: The Lost Empire,230011
61,Chris Lee Productions,0012408,Final Fantasy: The Spirits Within,173840
62,Square Company,0035851,Final Fantasy: The Spirits Within,173840
63,Square USA,0040831,Final Fantasy: The Spirits Within,173840
64,Pikachu Project 2001,0111261,Pokemon 4Ever: Celebi - Voice of the Forest,287635
65,Shogakukan,0011744,Pokemon 4Ever: Celebi - Voice of the Forest,287635
66,4 Kids Entertainment,0052177,Pokemon 4Ever: Celebi - Voice of the Forest,287635
67,4 Kids Entertainment,0052177,Pokemon 4Ever: Celebi - Voice of the Forest,287635
68,Kids' WB,0108606,Pokemon 4Ever: Celebi - Voice of the Forest,287635
69,Nintendo,0002481,Pokemon 4Ever: Celebi - Voice of the Forest,287635
70,Pikachu Project 2002,0119942,Pokemon 4Ever: Celebi - Voice of the Forest,287635
71,Pikachu Project,0227410,Pokemon 4Ever: Celebi - Voice of the Forest,287635
72,Pokémon USA,0082216,Pokemon 4Ever: Celebi - Voice of the Forest,287635
73,Tokyo Movie Shinsha,0741536,Sore Ike! Anpanman: Gomira no hoshi,15864378
74,Tokuma Shoten,0016626,Spirited Away,245429
75,Studio Ghibli,0048420,Spirited Away,245429
76,Nippon Television Network (NTV),0003850,Spirited Away,245429
77,Dentsu,0169264,Spirited Away,245429
78,Buena Vista Home Entertainment,0088070,Spirited Away,245429
79,Tohokushinsha Film Corporation (TFC),0032110,Spirited Away,245429
80,Mitsubishi,0148513,Spirited Away,245429
81,GAGA.,0004745,Blue Remains,291046
82,Clever Image Studios,0191854,The Happy Cricket from the Amazon,291959
83,Paris Filmes,0021161,The Happy Cricket from the Amazon,291959
84,Start Desenhos Animados,0259290,The Happy Cricket from the Amazon,291959
85,Studio 4°C,0041113,Princess Arete,306474
86,Bandai Visual Company,0080697,Millennium Actress,291350
87,Chiyoko Commitee,0157323,Millennium Actress,291350
88,Genco,0011394,Millennium Actress,291350
89,Kadokawa Shoten Publishing Co.,0060607,Millennium Actress,291350
90,Madhouse,0022946,Millennium Actress,291350
91,WOWOW,0033264,Millennium Actress,291350
92,Dygra Films S.L.,0080840,The Living Forest,310790
93,Megatrix Sau,0033834,The Living Forest,310790
94,Warner Bros.,0002663,Osmosis Jones,181739
95,Conundrum Entertainment,0030016,Osmosis Jones,181739
96,Warner Bros. Animation,0072876,Osmosis Jones,181739
97,Nelvana,0015560,The Little Bear Movie,293854
98,Wild Things Productions,0056173,The Little Bear Movie,293854
99,Accio,0032486,10 + 2: The Great Secret,275876
100,Infinit Animacions S.L.,0023316,10 + 2: The Great Secret,275876
101,Televisió de Catalunya,0058512,10 + 2: The Great Secret,275876
102,Bandai Visual Company,0080697,Cowboy Bebop: The Movie,275277
103,Bones,0073964,Cowboy Bebop: The Movie,275277
104,Destination Films,0017834,Cowboy Bebop: The Movie,275277
105,Sunrise,0006858,Cowboy Bebop: The Movie,275277
106,Illuminated Film Company,0035737,Christmas Carol: The Movie,259929
107,Film Council,0104092,Christmas Carol: The Movie,259929
108,FilmFour,0002948,Christmas Carol: The Movie,259929
109,MBP (Germany),0005370,Christmas Carol: The Movie,259929
110,Scala,0104194,Christmas Carol: The Movie,259929
111,The Film Consortium,0011024,Christmas Carol: The Movie,259929
112,Winchester Films,0054229,Christmas Carol: The Movie,259929
